CpG,logFC,P.Value,adj.P.Val,chr,pos,genes,UCSC_RefGene_Group,Relation_to_Island,n_genes,on_candidate,candidate_genes_hit
cg11261747,-0.0680113933294878,0.000410227815823244,0.766761580756231,chr14,96129824,TCL6,Body,OpenSea,1,FALSE,""
cg04429873,-0.0424642930362064,0.000412976924568466,0.766761580756231,chr16,89416597,ANKRD11,Body;5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg27160886,-0.0624019365150939,0.000414631936405854,0.766761580756231,chr21,27520639,APP,5'UTR;Body;Body;Body;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg22365693,0.0505092151472231,0.000414651022532524,0.766761580756231,chr6,150646433,"","",OpenSea,0,FALSE,""
cg15957341,-0.102531769095309,0.000416201010485472,0.766761580756231,chr11,7275418,SYT9,Body,S_Shore,1,FALSE,""
cg08105965,0.07677964506666,0.000417094546040611,0.766761580756231,chr22,29711916,RASL10A,TSS200;TSS200,Island,1,FALSE,""
cg17821372,0.0664245588436873,0.000417963629940353,0.766761580756231,chr3,177159719,LINC00578,Body,OpenSea,1,FALSE,""
cg17156534,-0.0576462189018071,0.00041855280239994,0.766761580756231,chr20,39658922,TOP1,Body,S_Shore,1,FALSE,""
cg25733780,0.0903335207584627,0.000418960352091181,0.766761580756231,chr1,146736210,CHD1L,5'UTR;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg09852703,-0.036732810850218,0.000419316254738022,0.766761580756231,chr10,5620453,"","",OpenSea,0,FALSE,""
cg23568324,-0.065892674237336,0.000420881581072075,0.766761580756231,chr7,2678248,TTYH3,Body,OpenSea,1,FALSE,""
cg16833883,0.0748569060028193,0.00042284989738842,0.766761580756231,chr7,73279335,WBSCR28,Body;ExonBnd,OpenSea,1,FALSE,""
cg12264517,0.0707428425902483,0.000424077929860827,0.766761580756231,chr5,66255020,MAST4,5'UTR;1stExon;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg05907223,0.130400357675991,0.000424965319323598,0.766761580756231,chr3,162287262,"","",OpenSea,0,FALSE,""
cg14530445,0.0412547237455441,0.000425251380567094,0.766761580756231,chr1,145507324,RBM8A,TSS1500,N_Shore,1,FALSE,""
cg08709672,-0.06262486886132,0.000426029472081431,0.766761580756231,chr1,206224334,AVPR1B,5'UTR;1stExon,S_Shore,1,FALSE,""
cg12081645,0.0562724966375033,0.000426275910921565,0.766761580756231,chr4,157920476,"","",OpenSea,0,FALSE,""
cg18045152,-0.0552106853101954,0.000428872206224342,0.766761580756231,chr19,35992984,DMKN,Body;Body;Body;TSS200,OpenSea,1,FALSE,""
cg17417860,0.0578848527846629,0.00042919026375685,0.766761580756231,chr6,114278439,HDAC2,Body;Body;Body,OpenSea,1,FALSE,""
cg25385201,0.112797702192766,0.000429695829709512,0.766761580756231,chr9,131790837,SH3GLB2,TSS1500;TSS1500;TSS1500,S_Shore,1,FALSE,""
cg22194495,-0.03727951211392,0.00043136307612601,0.766761580756231,chr19,34412377,"","",OpenSea,0,FALSE,""
cg16389203,-0.0366135722016959,0.000432322645920925,0.766761580756231,chr1,193738921,"","",OpenSea,0,FALSE,""
cg01907688,0.0712540363692461,0.000433016231683758,0.766761580756231,chr1,43424882,SLC2A1,TSS200,S_Shore,1,FALSE,""
cg23688411,-0.0734933450876597,0.000434144707310166,0.766761580756231,chr12,120907854,SFRS9|DYNLL1,TSS1500;1stExon;5'UTR,Island,2,FALSE,""
cg22256199,0.0664775733843253,0.000434285928813041,0.766761580756231,chr1,98387093,DPYD,TSS1500;TSS1500,S_Shore,1,FALSE,""
cg24902461,0.0902471757797046,0.000437258408519149,0.766761580756231,chr10,121031392,GRK5,Body,OpenSea,1,FALSE,""
cg02229095,-0.108382922873561,0.000437286290903738,0.766761580756231,chr8,146011663,ZNF34,5'UTR,N_Shore,1,FALSE,""
cg23122394,-0.0581584200415586,0.000438016378633117,0.766761580756231,chr16,602699,CAPN15,Body,N_Shelf,1,FALSE,""
cg07091793,0.0944961056542396,0.000438390461053667,0.766761580756231,chr10,6362483,"","",OpenSea,0,FALSE,""
cg22606325,0.102671426712794,0.000439646120154768,0.766761580756231,chr20,22471530,"","",OpenSea,0,FALSE,""
cg01828414,0.0780270215927332,0.000441725879797538,0.766761580756231,chr22,17652594,"","",Island,0,FALSE,""
cg07324432,-0.0446883907201138,0.00044222706127066,0.766761580756231,chr10,29195494,"","",OpenSea,0,FALSE,""
cg02975041,-0.0595747871387123,0.000442861295996343,0.766761580756231,chr12,68043363,DYRK2,Body;5'UTR,Island,1,FALSE,""
cg07700644,-0.0514034032192629,0.000444024779854875,0.766761580756231,chr11,116663804,APOA5,TSS1500;TSS1500,S_Shelf,1,FALSE,""
cg07855121,-0.0456430616392776,0.000444889882450278,0.766761580756231,chr2,121735776,GLI2,Body,OpenSea,1,FALSE,""
cg11359720,0.114403659850387,0.000445351291325402,0.766761580756231,chr21,45246441,"","",Island,0,FALSE,""
cg26721382,-0.0339710109954012,0.000445502796455846,0.766761580756231,chr1,31196596,MATN1,TSS200,S_Shelf,1,FALSE,""
cg10964963,-0.0485754142733771,0.000445767639632479,0.766761580756231,chr2,231187704,"","",OpenSea,0,FALSE,""
cg24327522,-0.0768705199597568,0.00044585960252697,0.766761580756231,chr17,78866579,RPTOR,Body;Body,N_Shelf,1,FALSE,""
cg18182038,0.0731871974504903,0.000446176741378825,0.766761580756231,chr1,32859921,BSDC1,Body;Body;Body;Body,Island,1,FALSE,""
cg09935388,-0.176078683327007,0.000446546046815833,0.766761580756231,chr1,92947588,GFI1,Body;Body;Body,Island,1,FALSE,""
cg24049493,0.19162058160857,0.000446659460935224,0.766761580756231,chr1,42385941,HIVEP3,TSS1500;TSS1500,S_Shore,1,FALSE,""
cg02837421,-0.0784380404816744,0.000447094770905078,0.766761580756231,chr3,13879470,WNT7A,Body,OpenSea,1,FALSE,""
cg11320418,0.0648753075026867,0.000449437332990463,0.766761580756231,chr13,114898440,RASA3,TSS1500,Island,1,FALSE,""
cg11495006,0.108524155103039,0.000451250682928541,0.766761580756231,chr10,132004214,"","",OpenSea,0,FALSE,""
cg18447538,0.0784262029297113,0.000452207429758802,0.766761580756231,chr3,153942360,ARHGEF26,Body;Body;Body,OpenSea,1,FALSE,""
cg15843462,0.0765890086644077,0.000452498343559451,0.766761580756231,chr15,45473810,SHF,TSS1500;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg15638292,-0.0635535564573806,0.00045588425450822,0.766761580756231,chr11,76849451,MYO7A,Body;Body;Body,Island,1,FALSE,""
cg16141316,0.0596718776928571,0.000456104410859695,0.766761580756231,chr18,55469758,"","",Island,0,FALSE,""
cg00255189,-0.0755842607422436,0.000456634989436417,0.766761580756231,chr21,42847772,TMPRSS2,Body;Body,OpenSea,1,FALSE,""
cg19477001,-0.110309148860508,0.000456721240957952,0.766761580756231,chr10,104192319,CUEDC2,5'UTR;1stExon,Island,1,FALSE,""
cg16013298,0.0824329264025648,0.000461799221508463,0.766761580756231,chr11,70584951,SHANK2,Body,OpenSea,1,FALSE,""
cg03447361,-0.0519714870514555,0.000465692206647606,0.766761580756231,chr16,58972525,"","",OpenSea,0,FALSE,""
cg11007986,-0.179782254555553,0.000466943543576648,0.766761580756231,chr19,38719269,DPF1,5'UTR,Island,1,FALSE,""
cg04661709,-0.0767506156306306,0.000467151151587577,0.766761580756231,chr9,124360264,DAB2IP,Body,N_Shore,1,FALSE,""
cg25803766,-0.0663056719622588,0.000467834762345669,0.766761580756231,chr8,145150394,CYC1,Body,Island,1,FALSE,""
cg23489630,0.186200941564831,0.000468144206679453,0.766761580756231,chr19,44645078,ZNF234,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg17620789,-0.038515348550091,0.000468799360112064,0.766761580756231,chr2,70794292,"","",OpenSea,0,FALSE,""
cg21725954,0.108993169085482,0.000468888330766048,0.766761580756231,chr6,146348890,GRM1,5'UTR;1stExon;5'UTR;1stExon,N_Shore,1,FALSE,""
cg00941188,-0.0426816320839816,0.000469266738154106,0.766761580756231,chr20,39794656,PLCG1,Body;Body,OpenSea,1,FALSE,""
cg00614314,0.0796294328998055,0.000469315364039524,0.766761580756231,chr15,82944287,LOC80154,TSS1500,N_Shore,1,FALSE,""
cg07060203,-0.0834245925924838,0.000469496897767212,0.766761580756231,chr10,135089661,ADAM8,Body;Body;Body,N_Shore,1,FALSE,""
cg14093151,-0.0497080507176298,0.000471191753875817,0.766761580756231,chr15,59019208,ADAM10,Body,OpenSea,1,FALSE,""
cg09395552,0.0731875807878526,0.000471556959303505,0.766761580756231,chr20,40153617,CHD6,Body,OpenSea,1,FALSE,""
cg00131244,-0.0957253251045654,0.000471603831915445,0.766761580756231,chr8,143227870,"","",OpenSea,0,FALSE,""
cg21612054,0.0901918413122248,0.00047303349229419,0.766761580756231,chr15,43477945,CCNDBP1,TSS200;Body;Body;Body,S_Shore,1,FALSE,""
cg06441568,0.051498375123441,0.00047357400863626,0.766761580756231,chr4,85419504,NKX6-1,TSS200,Island,1,FALSE,""
cg14998613,0.0604514811423479,0.000473854338110854,0.766761580756231,chr7,155554462,RBM33,Body,OpenSea,1,FALSE,""
cg26053881,-0.0525078248253535,0.000474372391757519,0.766761580756231,chr1,3136528,PRDM16,Body;Body,OpenSea,1,FALSE,""
cg05890578,0.0690826060555124,0.0004745569402538,0.766761580756231,chr2,45877647,PRKCE,TSS1500,Island,1,FALSE,""
cg18034428,0.211184269321194,0.000474757758299931,0.766761580756231,chr20,9819467,PAK7,5'UTR;1stExon;5'UTR;1stExon,Island,1,FALSE,""
cg21441555,-0.0902448820900124,0.000474969751283236,0.766761580756231,chr12,117579332,"","",OpenSea,0,FALSE,""
cg25430848,-0.0654068375303512,0.000475555061859066,0.766761580756231,chr8,144681399,TIGD5,1stExon,Island,1,FALSE,""
cg06312751,0.0843613901439447,0.000476102082976165,0.766761580756231,chr9,101006346,TBC1D2,Body;Body;Body,OpenSea,1,FALSE,""
cg04211829,-0.0729901358212058,0.000476700785743158,0.766761580756231,chr16,72981203,ZFHX3,Body;Body,OpenSea,1,FALSE,""
cg26873705,-0.0536774183897468,0.000479653986437048,0.766761580756231,chr2,160919162,PLA2R1,TSS200;TSS200,Island,1,FALSE,""
cg22478218,-0.0630029147104042,0.000479938860774678,0.766761580756231,chr4,95265650,"","",OpenSea,0,FALSE,""
cg09744763,0.0835640874183317,0.000483317782658116,0.766761580756231,chr1,63695132,LINC00466,Body,OpenSea,1,FALSE,""
cg05954918,0.0842589252418081,0.000483481069799165,0.766761580756231,chr1,21645238,ECE1,Body,OpenSea,1,FALSE,""
cg11558376,0.0695931070098412,0.000484958308617008,0.766761580756231,chr17,260589,C17orf97,Body,S_Shore,1,FALSE,""
cg07073135,-0.0669321246419428,0.000485073686416492,0.766761580756231,chr16,67688696,RLTPR,Body,S_Shore,1,FALSE,""
cg11219917,-0.0890755550545197,0.000485941822897531,0.766761580756231,chr4,819151,CPLX1,5'UTR,Island,1,FALSE,""
cg08021741,-0.0631538672323062,0.00048997665910303,0.766761580756231,chr4,177230119,"","",OpenSea,0,FALSE,""
cg03769821,-0.0646387072983029,0.000491437264477259,0.766761580756231,chr19,50780280,MYH14,Body;Body;Body,OpenSea,1,FALSE,""
cg06239086,0.0615306392343394,0.00049254789471278,0.766761580756231,chr3,65893567,MAGI1-AS1|MAGI1,Body;Body;Body;Body,OpenSea,2,FALSE,""
cg17128312,0.118322587622501,0.000492712491147416,0.766761580756231,chr19,12806824,FBXW9,Body,N_Shore,1,FALSE,""
cg24129947,0.051591846895054,0.000492718170055774,0.766761580756231,chr15,43213015,TTBK2,TSS200,Island,1,FALSE,""
cg27606313,0.0610657911705898,0.000492935711418083,0.766761580756231,chr11,2530865,KCNQ1,Body;Body,OpenSea,1,FALSE,""
cg23190366,-0.0542600363374784,0.000494225968323697,0.766761580756231,chr17,79000564,"","",OpenSea,0,FALSE,""
cg11493923,0.0386902879720035,0.000497041949760696,0.766761580756231,chr6,22448632,"","",OpenSea,0,FALSE,""
cg16294152,-0.0904142609438139,0.000497685816489543,0.766761580756231,chr5,418696,AHRR,Body,N_Shelf,1,FALSE,""
cg20523169,0.0598411862834542,0.000498572877306325,0.766761580756231,chr17,75880269,FLJ45079,TSS200,N_Shelf,1,FALSE,""
cg21717959,0.0784197802912339,0.000499014693825297,0.766761580756231,chr6,163148762,PACRG|PARK2,5'UTR;TSS1500;5'UTR;1stExon;5'UTR;1stExon;5'UTR;5'UTR;1stExon,Island,2,FALSE,""
cg22283115,0.0860316955531196,0.000499548877177804,0.766761580756231,chr7,4911121,RADIL,Body,OpenSea,1,FALSE,""
cg01190615,0.0796633445973606,0.000500414249690987,0.766761580756231,chr17,45821623,TBX21,Body,OpenSea,1,FALSE,""
cg19273129,-0.0825207631303584,0.000500724935296125,0.766761580756231,chr7,65512478,"","",S_Shelf,0,FALSE,""
cg14082530,-0.0407544631825496,0.000501120371230124,0.766761580756231,chr1,39920611,MACF1,Body;Body,OpenSea,1,FALSE,""
cg19542816,-0.121545099525293,0.000501550426176663,0.766761580756231,chr2,177053295,HOXD1,TSS200,Island,1,FALSE,""
cg11126068,0.0605336691953559,0.000502045140525452,0.766761580756231,chr11,67195806,RPS6KB2,TSS200,Island,1,FALSE,""
cg27355006,-0.0447497893832031,0.000503944037054176,0.766761580756231,chr16,30913234,CTF1,Body;Body,N_Shore,1,FALSE,""
cg01802653,0.0543007438442416,0.000505111582629666,0.766761580756231,chr4,89513149,HERC3,TSS1500,Island,1,FALSE,""
cg11334300,0.0630178915510817,0.000505564674502206,0.766761580756231,chr13,114152914,TMCO3,Body,OpenSea,1,FALSE,""
cg22261895,-0.074108355178441,0.000506222961958537,0.766761580756231,chr12,14720100,PLBD1,Body,N_Shore,1,FALSE,""
cg14519252,0.085622091291133,0.000506351382307793,0.766761580756231,chr1,41397795,"","",OpenSea,0,FALSE,""
cg10409077,-0.0338345342141909,0.000506676836362239,0.766761580756231,chr21,47168157,"","",S_Shore,0,FALSE,""
cg10352237,-0.128771044181765,0.000506771621299208,0.766761580756231,chr22,46481248,LOC400931,TSS1500,N_Shore,1,FALSE,""
cg14317554,0.066495584149655,0.000506839131044729,0.766761580756231,chr3,184870948,C3orf70,TSS200,Island,1,FALSE,""
cg03618835,-0.0755304699232121,0.000507766634895651,0.766761580756231,chr1,62013510,"","",OpenSea,0,FALSE,""
cg07935784,0.0944252772067511,0.000508236851458405,0.766761580756231,chr4,18320820,"","",OpenSea,0,FALSE,""
cg25099154,0.0528308527406527,0.000510025983346868,0.766761580756231,chr15,91203371,"","",OpenSea,0,FALSE,""
cg15217637,0.0456515203707546,0.000510078382091458,0.766761580756231,chr4,37841179,PGM2,Body,OpenSea,1,FALSE,""
cg16094024,-0.0926490563574004,0.000512868051146261,0.766761580756231,chr1,94885184,ABCD3,Body;Body,S_Shore,1,FALSE,""
cg12401651,0.0632180918612482,0.000513025075316681,0.766761580756231,chr1,150669681,GOLPH3L,TSS200,OpenSea,1,FALSE,""
cg24634422,-0.0743304319873857,0.000513306937046096,0.766761580756231,chr11,35441593,SLC1A2,TSS1500,Island,1,FALSE,""
cg21830122,-0.0669851428048566,0.000514006190080942,0.766761580756231,chr6,32037653,TNXB,Body,OpenSea,1,FALSE,""
cg17331750,0.0604869411769968,0.000515253880542898,0.766761580756231,chr7,4755341,FOXK1,Body,N_Shelf,1,FALSE,""
cg06122230,0.0816925359833245,0.000515326172384813,0.766761580756231,chr20,47887219,ZNFX1,Body,OpenSea,1,FALSE,""
cg12276535,0.035388280142102,0.000515338484946171,0.766761580756231,chr2,85843113,USP39,TSS200,N_Shore,1,FALSE,""
cg14541941,-0.0383727555246801,0.000517389326856714,0.766761580756231,chr9,127071026,NEK6,Body;Body;Body;Body;Body;Body;Body,OpenSea,1,FALSE,""
cg21170041,-0.223357772780802,0.000518646458602596,0.766761580756231,chr9,74764428,GDA,1stExon;5'UTR,Island,1,FALSE,""
cg19466037,-0.0648971930824348,0.0005189304345429,0.766761580756231,chr7,65647940,"","",OpenSea,0,FALSE,""
cg06019590,-0.147621282103625,0.00051931472451123,0.766761580756231,chr5,496476,SLC9A3,Body,N_Shore,1,FALSE,""
cg05000029,0.0760717294080452,0.000519328071458026,0.766761580756231,chr4,110963147,"","",OpenSea,0,FALSE,""
cg13256036,0.114155007560537,0.00052036621664996,0.766761580756231,chr20,36962563,BPI,Body,OpenSea,1,FALSE,""
cg02780120,0.0875046745199596,0.00052051573604822,0.766761580756231,chr2,198300127,SF3B1,TSS1500;TSS1500,S_Shore,1,FALSE,""
cg13696605,0.0460894517280076,0.000521631705213143,0.766761580756231,chr9,36169203,CCIN,TSS200,S_Shelf,1,FALSE,""
cg14543212,-0.0785151490442479,0.0005229521972666,0.766761580756231,chr1,159399288,"","",OpenSea,0,FALSE,""
cg03426413,0.0474496856494999,0.000525657711671295,0.766761580756231,chr7,143826860,OR2A14,1stExon,OpenSea,1,FALSE,""
cg21230284,-0.0660592702273557,0.000527062625664417,0.766761580756231,chr4,1660919,FAM53A,Body,Island,1,FALSE,""
cg19146577,0.0678240042161168,0.000527902055352253,0.766761580756231,chr7,44171808,"","",OpenSea,0,FALSE,""
cg12473144,0.0519729026398762,0.000529266010433223,0.766761580756231,chr5,140071478,HARS2|HARS,5'UTR;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;Body;Body,S_Shore,2,FALSE,""
cg01237180,-0.081801491374918,0.000529585480782439,0.766761580756231,chr8,669436,ERICH1,Body;Body,OpenSea,1,TRUE,ERICH1
cg05098380,0.0859720812303173,0.000531345863065559,0.766761580756231,chr15,66585090,DIS3L,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg01573457,0.0533177274467625,0.000534331336585354,0.766761580756231,chr1,75598292,LHX8,Body,S_Shore,1,FALSE,""
cg27107955,0.0623976195412717,0.000535106732074884,0.766761580756231,chr1,66849234,"","",OpenSea,0,FALSE,""
cg24369185,0.111497686283448,0.000536911854287307,0.766761580756231,chr6,41341601,"","",Island,0,FALSE,""
cg07811470,-0.050888643564031,0.000538868846855703,0.766761580756231,chr13,27335542,GPR12,TSS1500,S_Shore,1,FALSE,""
cg15284177,-0.120901483339464,0.00053943824238935,0.766761580756231,chr7,137029097,PTN,TSS1500,OpenSea,1,FALSE,""
cg11313410,0.0663556293982113,0.000539599473245131,0.766761580756231,chr1,116771651,"","",OpenSea,0,FALSE,""
cg07960323,-0.0362192452903208,0.00054083920097086,0.766761580756231,chr2,234215396,SAG,TSS1500,OpenSea,1,FALSE,""
cg20246567,-0.0706829215591502,0.000540875612242376,0.766761580756231,chr2,111488934,ACOXL,TSS1500,N_Shore,1,FALSE,""
cg27328757,0.0544760226433346,0.00054102534029281,0.766761580756231,chr2,11295421,PQLC3,TSS200;TSS200;TSS200;TSS200;TSS200,N_Shore,1,FALSE,""
cg26349016,-0.0489822954383976,0.000542118703076981,0.766761580756231,chr17,27003032,SUPT6H,Body,OpenSea,1,FALSE,""
cg07608867,-0.0716104124764898,0.000542795054865006,0.766761580756231,chr10,49879854,"","",OpenSea,0,FALSE,""
cg17511532,0.0581871388736958,0.000543939221508242,0.766761580756231,chr7,41356278,"","",OpenSea,0,FALSE,""
cg05488403,0.0677542665406184,0.000546319892690621,0.766761580756231,chr7,46266757,"","",OpenSea,0,FALSE,""
cg03052856,0.0693130198587908,0.00054906204775591,0.766761580756231,chr22,43578698,TTLL12,Body,N_Shelf,1,FALSE,""
cg09776718,0.0403817652908453,0.000551473088770123,0.766761580756231,chr19,30164820,PLEKHF1,Body,Island,1,FALSE,""
cg07243700,0.0490102377122154,0.000552339002848504,0.766761580756231,chr1,100731457,RTCD1,TSS1500;TSS1500,N_Shore,1,FALSE,""
cg11486745,0.0756690890859627,0.000552390323220857,0.766761580756231,chr20,12906039,LOC101929486,Body,OpenSea,1,FALSE,""
cg15149095,-0.0550421628744359,0.000552518858119314,0.766761580756231,chr1,210111672,SYT14,Body;Body;Body;Body;Body;Body,Island,1,FALSE,""
cg14478255,-0.0562262570644206,0.000554941896529377,0.766761580756231,chr2,1425035,TPO,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg07381317,-0.0405631398564926,0.000554963133906357,0.766761580756231,chr20,31585039,SUN5,Body,OpenSea,1,FALSE,""
cg13833535,0.044236964240473,0.000556483993811033,0.766761580756231,chr11,65029061,POLA2,TSS1500,Island,1,FALSE,""
cg00068779,-0.0796490681287691,0.000556492337511121,0.766761580756231,chr4,189956957,"","",OpenSea,0,FALSE,""
cg25524464,0.10776574866998,0.000556974985868811,0.766761580756231,chr10,133326998,"","",OpenSea,0,FALSE,""
cg14311838,-0.0881875305988225,0.000557903028191509,0.766761580756231,chr22,37917666,"","",S_Shore,0,FALSE,""
cg17509600,0.0642768615921406,0.000558880882943968,0.766761580756231,chr3,128045775,EEFSEC,Body,OpenSea,1,FALSE,""
cg04392370,-0.0555050257713562,0.000559747720764611,0.766761580756231,chr3,78919850,ROBO1,Body;Body;Body,OpenSea,1,FALSE,""
cg26874693,0.0393690808269866,0.000559765969050546,0.766761580756231,chr12,111618936,CUX2,Body,OpenSea,1,FALSE,""
cg21583440,0.103810688606206,0.00056454563196569,0.766761580756231,chr11,75186707,GDPD5,Body,OpenSea,1,FALSE,""
cg14679848,-0.0911088014015863,0.000566740439785574,0.766761580756231,chr5,176014848,CDHR2,Body;Body,OpenSea,1,FALSE,""
cg04405612,0.066373395205821,0.000567909540917399,0.766761580756231,chr6,28499825,GPX5,Body;Body,OpenSea,1,FALSE,""
cg26652562,0.118129353632521,0.000568916476207726,0.766761580756231,chr3,36885383,TRANK1,Body,OpenSea,1,FALSE,""
cg17457884,-0.0453333911101621,0.000569506749994704,0.766761580756231,chr1,28696657,PHACTR4,5'UTR,Island,1,FALSE,""
cg07223253,0.0732950525606656,0.000571205089813008,0.766761580756231,chr7,150147988,GIMAP8,5'UTR;1stExon,OpenSea,1,FALSE,""
cg10333993,-0.0420775013438983,0.000571359867862477,0.766761580756231,chr6,69110500,"","",OpenSea,0,FALSE,""
cg25157291,-0.0681551086851111,0.000575147332038164,0.766761580756231,chr11,64940257,SPDYC,Body,OpenSea,1,FALSE,""
cg13529020,-0.0504643583917598,0.000575613864161923,0.766761580756231,chr1,207114335,PIGR,5'UTR,OpenSea,1,FALSE,""
cg00194374,0.050956672436892,0.000577941162768744,0.766761580756231,chr1,226890928,ITPKB,Body,N_Shore,1,FALSE,""
cg14785615,-0.191787988855464,0.000578979920978474,0.766761580756231,chr7,87105231,ABCB4,TSS1500;TSS1500;TSS1500,Island,1,FALSE,""
cg13508283,0.0459927247876339,0.000579279573001611,0.766761580756231,chr19,55881893,IL11,TSS200,S_Shore,1,FALSE,""
cg20983196,-0.098535846077537,0.000579284471024086,0.766761580756231,chr11,47874963,"","",OpenSea,0,FALSE,""
cg21746094,-0.0462405148532502,0.0005807475462251,0.766761580756231,chr13,99175715,STK24,TSS1500;Body;Body,OpenSea,1,FALSE,""
cg13923451,0.060176753164126,0.000581454175392421,0.766761580756231,chr20,56784979,"","",S_Shelf,0,FALSE,""
cg10461560,0.0505163466417109,0.000581598903191016,0.766761580756231,chr15,66373258,MEGF11,Body,OpenSea,1,FALSE,""
cg14399981,-0.0702438501944392,0.000581892082031609,0.766761580756231,chr11,60414241,LINC00301,Body,N_Shore,1,FALSE,""
cg27534624,0.0750439390935332,0.000582799184906546,0.766761580756231,chr12,7072727,MIR141|MIR200C,TSS1500;TSS200,OpenSea,2,FALSE,""
cg26651233,0.0495365929440762,0.000583143221924048,0.766761580756231,chr14,85996101,FLRT2,TSS1500,N_Shore,1,FALSE,""
cg12238465,0.086945732321971,0.000583164833264889,0.766761580756231,chr16,50872311,"","",N_Shelf,0,FALSE,""
cg05086879,-0.112765245771316,0.000586962765613608,0.766761580756231,chr22,39861490,MGAT3,5'UTR,OpenSea,1,FALSE,""
cg05338745,0.0668362464546533,0.000588569919340746,0.766761580756231,chr12,82752188,CCDC59|C12orf26,Body;5'UTR;TSS200;1stExon,Island,2,FALSE,""
cg17938623,0.0860445279589099,0.000589037189695783,0.766761580756231,chr10,15762312,ITGA8,TSS1500,S_Shore,1,FALSE,""
cg18327385,0.0452306338004926,0.000589373443710278,0.766761580756231,chr1,31478765,PUM1,Body;Body,OpenSea,1,FALSE,""
cg11032268,0.0973839376985165,0.000589822268295686,0.766761580756231,chr7,5632272,FSCN1,TSS200,N_Shore,1,FALSE,""
cg07734513,-0.081628703067093,0.000590460607339159,0.766761580756231,chr7,75795931,"","",Island,0,FALSE,""
cg02180737,-0.0482723426486714,0.000590600643073911,0.766761580756231,chr14,101530856,MIR412|MIR410|MIR409|MIR369|MIR541,TSS1500;TSS1500;TSS1500;TSS1500;Body,N_Shore,5,FALSE,""
cg23276829,-0.070957826073443,0.000590786306795465,0.766761580756231,chr6,166720114,PRR18,3'UTR;1stExon,N_Shore,1,FALSE,""
cg24325362,0.133534398371747,0.000591942931044631,0.766761580756231,chr18,39535171,PIK3C3,TSS200,OpenSea,1,FALSE,""
cg19625728,-0.0492975313397254,0.000592494323448213,0.766761580756231,chr2,229477450,"","",OpenSea,0,FALSE,""
cg18995027,-0.104812788667306,0.000593608626367542,0.766761580756231,chr7,39843788,"","",OpenSea,0,FALSE,""
cg24577167,0.0781848760665454,0.000593766601256812,0.766761580756231,chr15,30337366,"","",S_Shore,0,FALSE,""
cg09217581,0.0885724455657081,0.000597182968447026,0.766761580756231,chr2,11484701,ROCK2,5'UTR;1stExon,Island,1,FALSE,""
cg01148478,0.0907045843634282,0.000597779295329778,0.766761580756231,chr4,174255089,HMGB2,5'UTR;5'UTR;TSS200,Island,1,FALSE,""
cg12229367,0.0931732840783083,0.000598633642595672,0.766761580756231,chr17,55822335,"","",OpenSea,0,FALSE,""
cg20724428,0.0495483793515144,0.000599159065014223,0.766761580756231,chr3,57997675,FLNB,Body;Body;Body;Body,S_Shelf,1,FALSE,""
cg07944953,0.137335107191601,0.000599460828253254,0.766761580756231,chr8,26315668,"","",OpenSea,0,FALSE,""
cg20965527,0.0530563120352706,0.000600912421056611,0.766761580756231,chr1,180150424,QSOX1,Body;Body,OpenSea,1,FALSE,""
cg08923498,-0.0429018592172865,0.000601320068452645,0.766761580756231,chr20,36795160,TGM2,TSS1500;TSS1500,S_Shore,1,FALSE,""
cg22179564,0.112331699432124,0.000602690541013762,0.766761580756231,chr5,74199422,"","",OpenSea,0,FALSE,""
cg16676993,-0.0448738284884115,0.000603395124794416,0.766761580756231,chr22,33505939,"","",OpenSea,0,FALSE,""
cg26299746,-0.0597197309773035,0.000604801176562296,0.766761580756231,chr12,3150097,"","",OpenSea,0,FALSE,""
cg20051548,0.0554160593804663,0.000604875473255086,0.766761580756231,chr4,2426950,CFAP99,5'UTR,OpenSea,1,FALSE,""
cg05148947,0.129240104446819,0.000605453265994169,0.766761580756231,chr11,18727806,IGSF22,Body,S_Shore,1,FALSE,""
cg21554013,0.0685410565166439,0.000605924331605913,0.766761580756231,chr17,43138521,DCAKD|NMT1,TSS200;TSS200,Island,2,FALSE,""
cg08861722,0.0493664771158247,0.000607140012820331,0.766761580756231,chr19,1753444,ONECUT3,TSS1500,Island,1,FALSE,""
cg13253692,-0.0526811784005449,0.000608681307799479,0.766761580756231,chr11,92245175,FAT3,Body,OpenSea,1,FALSE,""
cg06425430,0.0463938479153392,0.000610035093949681,0.766761580756231,chr11,118888778,RPS25|TRAPPC4,Body;TSS1500,N_Shore,2,FALSE,""
cg09179369,0.138739030684243,0.000610143934037544,0.766761580756231,chr22,39407384,"","",OpenSea,0,FALSE,""
cg17854734,-0.0439309661513887,0.000611759115237489,0.766761580756231,chr10,105491981,SH3PXD2A,Body,OpenSea,1,FALSE,""
